brc_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
11111.1   80  1.3334 -8.638e-02  0.064  0.092    1.60  0.0176  0.038  0.159  0.002  0.011  1.000  0.032  0.501  0.007  0.000  0.000  0.000  0.000
 9708.7   80  1.4521 -6.274e-02  0.064  0.092    1.60  0.0136  0.029  0.159  0.006  0.015  1.000  0.045  0.501  0.009  0.000  0.000  0.000  0.000
 8849.6   80  1.7451 -1.346e-01  0.064  0.092    1.60  0.0258  0.055  0.159  0.011  0.021  1.000  0.062  0.502  0.010  0.000  0.000  0.000  0.000
 7782.1   80  1.2840 -4.391e-02  0.064  0.092    1.60  0.0135  0.029  0.159  0.006  0.021  1.000  0.063  0.502  0.013  0.000  0.000  0.000  0.000
 6968.6   80  1.3490 -3.699e-02  0.064  0.092    1.60  0.0120  0.025  0.159  0.017  0.027  1.000  0.080  0.503  0.017  0.000  0.000  0.000  0.000
 6097.6   80  1.3490 -7.659e-02  0.064  0.092    1.60  0.0289  0.062  0.159  0.011  0.035  1.000  0.104  0.505  0.022  0.001  0.000  0.000  0.000
 5154.6   80  1.3668 -7.145e-03  0.064  0.092    1.60  0.0039  0.009  0.159  0.120  0.048  1.000  0.144  0.509  0.029  0.002  0.000  0.000  0.000
 4618.9   80  1.3724 -1.489e-02  0.064  0.092    1.60  0.0083  0.018  0.159  0.132  0.059  1.000  0.177  0.514  0.036  0.003  0.000  0.000  0.000
 4319.7   80  1.3788 -9.915e-03  0.064  0.092    1.60  0.0067  0.014  0.159  0.234  0.067  1.000  0.201  0.518  0.041  0.003  0.000  0.000  0.000
 4016.1   80  1.3856 -4.876e-03  0.064  0.092    1.60  0.0048  0.010  0.159  0.424  0.076  1.000  0.230  0.523  0.048  0.004  0.000  0.000  0.000
 3418.8   80  1.4211 -1.489e-02  0.064  0.092    1.60  0.0145  0.031  0.159  0.321  0.103  1.000  0.311  0.539  0.064  0.007  0.001  0.000  0.000
 3444.7   80  1.4192 -1.240e-02  0.064  0.092    1.60  0.0126  0.027  0.159  0.359  0.102  1.000  0.307  0.538  0.063  0.007  0.001  0.000  0.000
 2777.0   80  1.3246 -1.588e-01  0.064  0.092    1.60  0.1317  0.281  0.159  0.226  0.134  1.000  0.400  0.564  0.093  0.013  0.002  0.000  0.000
