org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
23529.4   70  1.8619 -2.789e-01  0.058  0.063    1.60  0.0120  0.064  0.109  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   70  1.8933 -2.488e-01  0.058  0.063    1.60  0.0139  0.074  0.109  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   70  1.3969 -2.403e-01  0.058  0.063    1.60  0.0236  0.125  0.109  0.000  0.003  1.000  0.008  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   70  1.5177 -1.104e-01  0.058  0.063    1.60  0.0113  0.060  0.109  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
11111.1   70  1.5941 -6.111e-02  0.058  0.063    1.60  0.0071  0.037  0.109  0.003  0.006  1.000  0.018  0.500  0.003  0.000  0.000  0.000  0.000
 9708.7   70  1.7593 -1.008e-01  0.058  0.063    1.60  0.0116  0.062  0.109  0.004  0.008  1.000  0.025  0.500  0.004  0.000  0.000  0.000  0.000
 8849.6   70  2.2321 -2.704e-01  0.058  0.063    1.60  0.0231  0.122  0.109  0.006  0.013  1.000  0.038  0.500  0.005  0.000  0.000  0.000  0.000
 7782.1   70  1.2466 -5.922e-02  0.058  0.063    1.60  0.0124  0.066  0.109  0.001  0.010  1.000  0.029  0.500  0.006  0.000  0.000  0.000  0.000
 6968.6   70  1.3996 -5.305e-02  0.058  0.063    1.60  0.0112  0.060  0.109  0.006  0.013  1.000  0.039  0.501  0.008  0.000  0.000  0.000  0.000
 6097.6   70  1.3979 -3.986e-02  0.058  0.063    1.60  0.0098  0.052  0.109  0.009  0.017  1.000  0.051  0.501  0.011  0.000  0.000  0.000  0.000
 5154.6   70  1.4203 -1.352e-02  0.058  0.063    1.60  0.0040  0.021  0.109  0.051  0.024  1.000  0.072  0.503  0.014  0.000  0.000  0.000  0.000
 4618.9   70  1.4317 -1.286e-02  0.058  0.063    1.60  0.0044  0.023  0.109  0.074  0.030  1.000  0.090  0.504  0.017  0.001  0.000  0.000  0.000
 4319.7   70  1.4339 -1.015e-02  0.058  0.063    1.60  0.0038  0.020  0.109  0.137  0.034  1.000  0.103  0.505  0.020  0.001  0.000  0.000  0.000
 4016.1   70  1.4338 -5.183e-03  0.058  0.063    1.60  0.0025  0.013  0.109  0.236  0.039  1.000  0.117  0.506  0.023  0.001  0.000  0.000  0.000
 3418.8   70  1.4314 -8.823e-03  0.058  0.063    1.60  0.0049  0.026  0.109  0.223  0.052  1.000  0.158  0.511  0.031  0.002  0.000  0.000  0.000
 3444.7   70  1.4341 -7.890e-03  0.058  0.063    1.60  0.0045  0.024  0.109  0.243  0.052  1.000  0.156  0.511  0.031  0.002  0.000  0.000  0.000
 2777.0   70  1.3999 -4.494e-02  0.058  0.063    1.60  0.0254  0.135  0.109  0.166  0.076  1.000  0.229  0.522  0.047  0.004  0.000  0.000  0.000
 2320.2   70  1.3907 -8.754e-03  0.058  0.063    1.60  0.0103  0.055  0.109  0.410  0.105  1.000  0.315  0.542  0.067  0.008  0.001  0.000  0.000
 2044.2   70  1.3959 -6.888e-03  0.058  0.063    1.60  0.0120  0.064  0.109  0.551  0.128  1.000  0.384  0.559  0.083  0.011  0.002  0.000  0.000
 1778.4   70  1.4332 -1.307e-02  0.058  0.063    1.60  0.0251  0.133  0.109  0.527  0.162  1.000  0.487  0.591  0.107  0.018  0.003  0.001  0.000
